;;;2000;;;;2001;;;;2002;;;;2003;;;;2004;;;;2005;;;;2006;;;;2007;;;;2008;;;;2009;;;;2010;;;;2011;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;;2018;;;;2019;;;;2020;;;;2021;;;;2022
;;;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал
Вторичный рынок жилья;Центрально-Черноземный район;;4 280.63;4 277.81;4 493.13;4 648.06;4 917.09;4 972.16;5 398.06;6 200.42;6 613.4;6 755.31;7 365.31;7 972.49;9 064.66;9 153.14;9 496.21;10 141.65;11 390.32;11 718.08;12 400.85;12 705.98;13 497.75;13 688.99;14 217.47;14 827.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Вторичный рынок жилья;Поволжский район;;5 279.59;5 323.89;5 353.15;5 683.02;5 925.18;6 263.44;6 620.23;7 339.3;8 008.87;8 504.2;9 084.86;9 619.16;10 241.23;10 482.66;10 867.48;11 280.71;12 037.92;12 409.31;12 942.41;13 649.09;14 497.94;15 053.71;15 803.14;16 471.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Вторичный рынок жилья;Северо-Кавказский район;;5 025.94;5 110.38;5 107.3;5 327.72;5 615.76;5 969.72;6 307.14;6 816.27;7 512.89;7 828.17;8 344.27;8 847.11;10 074.11;10 621.21;10 749.89;11 259.92;12 697.22;13 195.8;13 675.61;14 413.64;15 373.28;16 093.51;16 280.32;16 986.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Вторичный рынок жилья;Уральский район;;4 732.98;4 927.51;5 260.26;6 406.58;7 457.68;8 084.11;8 903.54;9 592.05;10 187.69;10 906.9;11 240.36;11 520.58;11 711.18;11 811.29;11 970.91;12 262.91;12 794.22;13 821.34;14 606.26;15 562.13;17 524.6;18 370.22;19 567.55;21 334.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Вторичный рынок жилья;Западно-Сибирский район;;4 579.79;4 730.58;5 087.94;5 523.83;6 265.94;6 908.51;7 926.89;9 014.64;10 258.39;10 895.39;11 329.86;11 481.89;12 017.98;12 209.39;12 375.95;12 631.52;13 246.04;13 880.39;14 973.5;16 544.16;18 549.17;19 623.09;20 867.65;22 142.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Вторичный рынок жилья;Восточно-Сибирский район;;4 595.59;4 728.67;4 977.23;5 816.06;6 827.21;7 725.14;9 037.14;9 735.42;10 205.69;10 538.77;10 913.33;11 133.11;10 326.81;10 647;10 951.7;11 296.84;12 337.12;12 956.39;14 117.29;15 346.25;16 864.46;17 198.2;17 462.52;17 971.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Вторичный рынок жилья;Дальневосточный район;;5 285.33;5 297.77;5 460.04;5 857.59;5 914.49;6 225.08;6 599.54;7 704.99;8 104.18;8 761.55;9 341.76;10 040.17;10 776.66;11 142.41;11 931.15;12 714.15;14 181.69;15 380.27;15 893.52;16 234.92;17 467.58;17 835.11;19 116.18;20 350.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Первичный рынок жилья;Российская Федерация;;8 045.69;8 070.9;8 224.97;8 678.04;9 020.24;9 421.89;9 889.63;10 567.37;11 300.55;12 051.23;12 577.96;12 939.39;14 317.26;14 859.97;15 603.97;16 320.06;18 521.18;19 282.19;20 029.76;20 809.93;22 437.68;23 223.13;24 031.84;25 393.74;26 640.66;29 742.69;33 289.84;36 221.05;40 978.24;42 594.61;44 478.08;47 481.84;48 729.47;51 299.17;52 799.39;52 503.92;50 464.81;49 313.4;47 968.31;47 714.92;48 261.28;48 035.67;48 050.43;48 143.69;41 533.98;42 201.23;42 904.44;43 686.07;44 955.52;46 359.5;47 482.84;48 162.53;48 794.73;49 330.65;49 959.49;50 208.31;49 938.5;50 919.48;51 115.56;51 714.18;52 602.51;52 190.48;51 719.97;51 530.15;53 655.35;53 558.2;53 475.96;53 286.96;56 347.2;56 516.78;56 560.78;56 882.19;58 875.59;59 969.66;60 952.83;61 831.57;60 705.14;61 618.25;62 891.94;64 059.49;71 503.24;73 438.05;76 167.22;79 003.43;83 177.29;89 007.64;93 536.96;98 908.96;109 197.56
Первичный рынок жилья;    Центральный федеральный округ;;10 807.86;10 663.18;10 820.03;11 107.57;11 976.58;12 210.23;12 355.87;13 151.27;13 747.34;14 688.27;15 466.52;15 914.02;18 370.39;19 332.2;20 360.5;21 411.61;25 676.22;26 640.89;27 256.49;28 432.96;31 482.09;32 294.1;32 871.56;34 772.77;34 943.15;40 083.48;45 296.01;47 821;54 429.12;55 520.83;57 682.1;62 189.03;63 499.29;67 201.15;69 768.35;70 074.8;65 343.76;64 316.52;62 231.25;62 287.46;64 316.49;63 816.63;63 403.11;63 591.87;50 831.46;51 521.82;52 264.57;53 087.89;53 296.49;54 997.97;55 776.63;56 332.57;57 030.89;57 624.52;58 968.35;59 696.54;55 879.9;57 559.08;57 574.99;58 360.81;59 225.99;58 321.01;58 049.73;58 614.62;64 817.06;64 104.59;64 396.02;63 902.96;71 347.31;71 803.07;71 340.93;71 509.64;76 792.16;79 137.01;80 327.76;80 873.29;78 080.42;79 931.76;81 299.23;82 740.34;82 319.18;83 996.95;87 939.42;91 393.33;101 235.1;108 469.06;113 043.49;117 074.8;121 230.52
Первичный рынок жилья;        Белгородская область;;4 703.04;5 111.62;5 073.87;5 172.39;5 590.1;5 785.85;6 061.97;6 345.71;7 219.28;7 509.72;8 558.77;9 033.1;10 141.05;10 586;10 977.08;11 531.88;12 408.09;12 735.53;13 024.15;13 733.44;14 288.96;15 092.55;15 467.54;15 793.18;16 851.3;19 710.67;23 356.87;25 842.92;28 545.53;29 827.21;30 837.15;32 836.8;38 993.11;40 886.35;42 195.38;43 430.05;43 220.36;42 394.63;41 818.59;41 572.11;39 389.34;39 416.15;39 571.9;39 340.05;39 169.25;39 561.49;39 806.4;40 382.9;44 463.97;45 673.3;48 070.19;48 876.9;51 219.75;52 380.54;52 686.18;52 931.48;54 086.65;54 786.97;54 038.95;54 621.07;53 377.29;52 148.24;51 101.64;50 274.82;50 412.11;50 829.86;52 217.62;51 663.48;53 264.17;52 867.88;53 137.58;52 807.51;54 109.83;53 443.64;53 332;53 987.7;56 140.27;56 797.09;56 978.95;57 817.78;56 697.39;57 713.04;58 987.09;60 870.14;67 606.47;70 557.41;70 018.19;73 684.57;90 362.31
Первичный рынок жилья;        Брянская область;;4 562.08;4 658.7;4 561.84;4 741.59;4 525.17;4 678.1;4 741.83;5 385.88;7 669.15;7 777.15;7 998.36;8 353.61;9 683.14;9 502.76;10 396.31;11 532.26;13 052.63;12 890.06;13 766.24;13 977.9;14 106.18;14 753.53;15 022.82;14 995.58;15 619.81;15 971.27;18 072.26;19 020.95;21 712.38;23 140.06;24 931.29;25 714.19;28 505.38;31 619.72;33 309.51;31 929.69;33 829.74;32 472.75;31 843.35;29 327.78;29 438.17;31 347.45;29 351.94;29 373.37;28 444.73;28 157.04;28 634.28;29 219.23;29 196.25;31 178.06;30 717.26;31 772.2;30 879.37;30 655.6;30 965.43;31 849.39;30 268.4;31 960.85;32 148.46;32 575.14;31 994.97;31 223.66;32 150.58;32 058.42;33 646.28;33 679.66;33 337.06;33 138.6;32 403.29;32 305.01;32 256.37;32 294.23;32 884.55;32 492.13;32 690.32;33 000.56;35 512.52;35 651.69;36 548.52;36 883.5;37 645.29;38 527.52;39 770.25;41 212.17;46 284.16;47 830.98;49 894.16;52 681.4;71 854.55
Первичный рынок жилья;        Владимирская область;;4 641.23;4 797.16;4 850.34;5 455.16;5 529.87;5 955.57;6 421.14;7 218.27;7 813.65;8 622.96;8 944.18;9 439.45;9 896.33;11 127.6;12 205.5;13 250.35;13 607.63;14 716.23;15 504.31;16 147.77;16 722.58;16 807.09;17 304.16;18 053.74;19 673.21;21 808.19;26 129.31;29 513.76;28 351.35;30 422.9;33 991.24;35 767.72;38 079.76;39 885.83;41 753.37;41 260.23;40 448.94;37 664;36 223.04;36 558.71;37 261.51;36 996.2;35 727.18;36 777.6;37 014.96;37 452.93;36 740.59;38 647.53;39 311.75;39 587.87;38 999.04;39 182.43;38 799.81;38 485.04;38 572.06;39 200.24;39 341.78;40 495.62;40 407.19;40 796.77;40 882.09;40 075.34;39 271.46;38 670.92;38 046.57;37 133.5;35 674.35;35 432.38;35 165.87;35 022.08;34 954.94;35 419.65;33 908.05;34 032.4;33 790.56;34 379.47;35 221.51;35 185.69;35 309.93;35 524.33;38 794.81;40 300.05;41 292.2;42 874.89;44 798.79;48 580.63;51 177.61;53 817.99;66 482.37
Первичный рынок жилья;        Воронежская область;;4 579.63;4 535.08;4 559.54;4 585.56;5 712.35;5 502.52;6 019.24;6 403.32;6 749.59;7 054.76;7 460.19;7 678.34;9 204.71;9 553.53;9 938.62;10 760.67;11 786.09;12 139.86;12 995.55;13 300.04;13 575.74;13 543.6;14 065.46;15 130.68;15 409.9;16 515.77;18 721.46;21 438.95;24 211.85;25 544.1;27 048.78;29 103.43;32 335.5;34 057.72;35 305.33;35 431.41;34 373.98;34 399.32;33 616.3;33 835.63;34 894.81;34 858.52;34 586.58;35 219.34;33 751.78;34 275.3;34 693.93;35 133.9;36 501.6;38 237.33;39 369.66;40 240.72;39 591.2;39 771.16;41 574.97;41 772.88;42 431.64;43 348.41;43 838.37;44 740.69;44 457.68;43 681.27;43 632.25;44 262.6;44 450.6;44 371.03;44 146.92;43 559.51;43 173.74;42 529.69;42 187.45;42 517.75;43 292.72;43 457.75;44 221.46;45 351.53;46 472.25;47 886.47;48 379.91;49 010.15;48 997.37;49 561.93;53 098.69;56 945.52;59 718.86;62 147.2;67 667.47;69 830.61;74 402.57
Первичный рынок жилья;        Ивановская область;;4 565.91;4 707.52;4 835.32;4 947.82;5 225.53;5 311.03;5 800.66;6 369.19;6 810.76;7 221.53;7 957;8 427.51;8 999.02;9 725.16;9 979.81;10 260.89;10 821.24;10 994.91;11 490.81;11 921.12;12 282;12 419.06;12 420.29;13 402.64;14 076.62;15 969.64;17 939.47;21 172.82;24 718.37;29 726.17;29 726.17;30 223.83;31 060.12;31 270.15;31 965.11;30 675.42;29 125.25;27 560.62;26 614.27;30 155.39;33 396.22;32 303.92;32 961.59;33 100.02;33 067.23;33 143.77;32 895.12;33 087.51;33 155.41;33 065.06;32 962.26;33 059.41;34 380.19;35 186.61;35 089.68;35 424.34;37 127.67;36 841.19;37 335.91;38 251.36;38 047.25;38 172.31;36 606.09;36 169.46;39 555.03;39 507.28;38 314.88;37 630.22;37 479.53;37 070;36 979.95;36 746.61;35 111.21;35 617.24;35 257.64;35 452.34;37 740.45;37 910.38;38 511.64;39 229.16;38 620.62;39 729.19;40 537.44;41 228.09;45 216.21;48 615.67;51 663.75;55 721.03;62 607.71
Первичный рынок жилья;        Калужская область;;8 006.83;7 228.36;6 844.44;7 135.47;7 385.47;7 356.57;8 191.5;9 350.76;10 109.39;10 578.22;10 695.93;11 775.1;12 314.46;12 884.85;13 281.32;13 567.78;14 506.15;14 593.52;15 518.05;15 670.99;15 950.97;17 159.18;18 580.07;19 962.35;22 111.56;24 146.42;26 986.95;29 056.64;32 290.69;33 552.48;36 376.82;40 032.33;45 392.43;53 983.8;58 518.79;59 921.83;49 442.25;46 242.49;47 218.53;46 563.33;45 943.91;45 319.09;46 051.18;45 207.44;46 519.08;47 332.02;49 139.09;49 923.77;49 085.06;49 476.29;48 692.49;49 178.03;49 207.61;49 381.18;49 925;50 697.73;49 363.46;49 286.47;48 902.98;50 671.14;49 051.13;49 473.67;49 091.84;48 114.83;49 374.42;48 363.8;48 471.51;48 557.85;48 676.59;48 913.95;48 885.92;47 841.22;50 098.68;50 652.38;51 204.72;51 995.62;51 943.74;51 360.94;51 006.22;51 362.64;53 580.71;56 344.89;58 413.08;60 016.62;59 079.42;60 074.69;61 468.57;65 208.91;79 447.64
Первичный рынок жилья;        Костромская область;;4 193.95;4 281.41;4 346.56;4 434.01;4 729.47;5 286.71;5 473.92;6 009.8;7 471.39;8 034.69;8 793.68;9 228.64;9 992.21;9 992.21;10 020.14;10 277.89;11 262.82;11 184.58;12 661.8;13 530.42;13 480.32;14 971.94;14 786.27;15 480.71;17 597.97;18 679.77;21 712.88;28 927.22;30 473.53;31 312.75;37 393.53;37 393.53;38 271.61;38 271.61;38 271.61;35 371.75;31 057.55;30 638.08;30 479.03;30 505.82;31 828.21;29 995.28;30 563.09;30 648.83;31 361.46;31 788.57;31 799.21;31 840.01;32 634.67;32 646.05;33 875.93;33 465.32;32 383.6;32 953.72;33 241.9;32 474.04;31 719.28;34 592.98;33 147.95;33 634.66;36 632.33;37 413.78;35 192.97;35 861.46;34 336.92;33 428.84;33 986.82;35 451.35;34 136.84;33 450.67;33 243.76;33 960.97;33 912.63;35 694.98;35 015.68;36 866.2;37 811.93;37 580.48;37 634.45;39 381.32;46 157.37;47 454.78;48 923.97;52 357.31;55 783.82;56 044.93;57 981.97;61 594.3;67 957.5
Первичный рынок жилья;        Курская область;;3 944.01;3 949.56;3 945.27;3 850;5 887.38;5 887.38;5 955.24;6 216.46;6 291.09;6 442.98;6 577.28;6 732.98;7 718.74;8 067.6;8 579.67;9 370.83;10 318.46;10 318.46;11 037;11 740.75;13 652;13 982.51;13 980.31;14 068.37;15 768.07;15 974.17;16 698.88;18 826.89;22 503.77;24 062.71;25 845.61;26 577.86;29 126.37;29 716.27;30 198.57;30 198.57;30 924.06;28 812.74;27 899.55;27 635.63;27 050.57;27 316.5;27 098.58;26 916.55;26 036.44;27 662.52;27 679.12;27 908.81;30 067.33;30 219.95;30 313;30 653.59;32 351.27;32 464.35;32 526.3;34 211.54;34 742.98;38 154.51;38 846.54;39 025.57;39 115.5;38 942.79;36 326.22;34 948.26;34 454.08;34 427.17;34 010.97;33 766.98;35 676.17;35 115.2;34 492.39;34 888.12;36 656.09;37 019.19;37 271.75;38 784.42;41 305.29;41 513.59;41 971.04;42 010.91;43 652.6;45 207.1;47 578.68;50 555.69;55 655.72;57 688.96;60 741.82;65 388.58;70 284.55
Первичный рынок жилья;        Липецкая область;;4 196.71;4 405.1;4 479.07;4 793.85;5 203.11;5 579.15;5 932.61;6 476.44;7 440.52;7 704.75;7 973.08;8 681.23;9 401.68;9 583.89;10 294.41;10 894.16;12 496.68;13 564.61;14 339.47;15 722.42;16 515.46;16 971.79;17 627.6;18 504.53;19 332.34;19 947.26;21 140.93;23 700.93;26 309.33;29 327.32;34 415.31;38 407;36 144;38 026.84;40 150.41;37 843.05;34 771.5;32 189.02;31 112.23;31 115.58;32 228.03;32 482.7;32 583.49;33 594.99;35 194.62;35 393.05;36 599.55;37 428.61;36 758.46;37 764.22;38 924.4;39 769.73;41 639.28;42 768.3;42 108.58;41 650.34;40 259.32;39 397.93;39 215.87;38 835.85;38 600.42;38 221.14;38 125.68;37 429.3;36 512.63;36 163.29;35 745.17;34 331.44;34 165.06;34 639.4;34 916.65;36 207.05;37 625.64;38 396.88;39 522.68;40 767.04;41 686.07;41 794.88;43 324.2;44 740.68;41 242.33;43 882.04;44 840.45;47 726.8;50 975.69;53 743.48;56 351.97;61 210.4;73 986.85
Первичный рынок жилья;        Московская область;;9 305.1;9 106.36;9 033.74;9 663.48;11 436.78;11 504.83;10 585.32;11 953.36;12 331.56;13 259.46;14 408.34;14 748.48;15 261.97;16 698.13;16 856.08;17 441.58;18 651.06;19 222.41;18 747.74;20 845.49;20 688.94;21 368.61;21 681.23;25 814.9;26 085.91;30 986.03;34 030.29;35 263.93;41 930.43;42 481.9;44 535.98;51 747.32;55 235.26;58 606.42;59 654.04;62 433.04;63 629.98;64 227.86;61 214.83;60 673.22;61 718.99;60 054.64;60 402.2;60 233.42;65 187.12;66 722.99;67 395.76;69 119.4;71 364.67;75 641.96;77 568.46;77 594.66;73 463.82;73 876.02;74 891.97;76 016.21;76 295.92;82 465.2;81 698.03;80 400.46;81 773.25;80 392.15;80 646.87;80 783.22;76 633.43;78 661.28;78 656.73;78 789.14;76 767.82;77 692.06;78 587.07;78 746.34;81 167.6;84 422.11;86 015.95;86 166.32;88 020.85;85 403.58;88 683.23;88 486.09;88 422.63;92 924.51;95 224.45;100 509.65;117 476.85;122 257.06;124 151.02;126 087.44;146 162.04
Первичный рынок жилья;        Орловская область;;6 637.92;6 667.44;6 880.17;6 974.33;7 609.51;7 634.27;7 805.55;8 432.94;9 065.29;9 509.51;9 892.43;10 295.84;10 422.05;10 655.47;11 081.85;11 650.49;11 644.26;12 706.53;13 475.58;13 996.61;14 242.84;14 424.51;14 916.64;15 282.35;16 318.38;16 808.32;17 550.03;18 918.45;21 075.16;22 686.77;23 732.42;25 673.89;28 474.09;29 969.83;31 337.09;32 348.66;31 121.97;29 758.45;29 579.41;29 411.48;30 232.7;30 046;29 620.42;29 683.19;27 045.42;28 264.76;29 020.82;28 770.04;30 219.33;32 491.2;33 088.37;35 253.97;36 324.91;36 697.8;36 815.73;36 987.24;37 135.62;37 791.53;37 837.05;37 574.77;37 490.7;36 924.54;36 608.51;37 251.11;36 532.3;35 234.74;34 787.75;34 230.55;33 304.13;33 731.85;34 580.2;35 460.83;35 872.41;35 979.47;36 408.86;37 414.32;38 426.01;38 934.34;39 589.69;40 021.24;41 303.65;43 564.66;45 791.04;49 423.13;52 388.01;59 459.93;63 704.69;65 046.65;67 207.59
Первичный рынок жилья;        Рязанская область;;6 085.32;6 130.43;6 270.6;6 458.34;6 791.31;6 974.04;7 250.24;8 005.27;8 780.08;9 253.99;9 682.04;10 194.2;10 194.96;10 401.48;10 728.97;10 964.44;11 275.19;11 673.1;12 825.63;13 409.89;14 107.62;14 396.68;15 605.23;16 564.74;17 496.54;19 214.92;22 175.69;25 495.34;30 806.13;32 585.21;33 846.55;35 955.35;37 601.51;39 592.36;40 852.56;40 550.68;37 916.52;36 771.82;35 226.76;33 848.6;37 694.98;37 996.07;39 430.33;39 561.41;34 003.65;33 987.41;35 101.09;35 221.12;35 762.15;34 981.03;35 575.7;36 004.88;36 055.13;35 722.9;35 781.76;37 277.81;38 286;39 108.98;38 832.39;39 476.84;41 148.33;38 502.79;37 750.85;37 750.97;37 380.22;37 384.64;35 700.22;35 891.85;38 100.85;38 299.36;38 408.38;39 138.69;38 580.58;38 779.02;39 843.2;41 463.58;41 316.96;41 865.67;42 307.67;43 400.6;46 264.11;48 113.32;51 211.92;54 385.86;56 984.39;60 652.78;63 518.01;65 126.9;74 351.39
Первичный рынок жилья;        Смоленская область;;5 727.51;5 854.32;5 828.37;5 828.37;5 750.14;5 750.36;5 817.28;5 821.25;6 346.32;6 363.73;6 772.57;6 793.02;7 702.36;8 304.56;9 307.88;9 993.96;10 342.31;11 374.41;12 228.61;12 982.47;12 202.16;12 664;13 369.87;14 607.67;16 737.04;17 517.95;18 556.59;21 728.93;23 987.97;25 025.42;26 095.62;26 858.71;29 598.93;31 536.33;34 257.37;33 745.92;29 977.4;29 524.93;28 438.57;28 657.55;31 143.09;31 018.12;31 162.94;31 596.82;32 505.44;32 950.98;34 078.14;35 690.21;37 248.87;37 723.42;38 511.27;39 454.85;42 209.43;41 834.26;41 502.51;41 722.98;41 047.88;41 261.71;41 181.66;41 258.84;43 388.69;42 110.22;41 070.52;40 247.04;38 735.29;38 604.14;38 593.95;38 567.91;39 083.79;39 286.07;39 465.68;39 605.73;39 074.78;39 543.76;38 994.01;39 354.78;40 099.94;40 279.54;39 235.39;39 605.55;41 591.11;42 023.44;42 858.05;44 898.88;49 689.57;51 272.63;54 422.98;56 277.3;55 780.24
Первичный рынок жилья;        Тамбовская область;;4 446.14;4 636.83;5 100.66;5 098.18;5 873.92;5 828.59;6 286.1;6 370.14;7 181.08;7 683.14;8 455.15;8 895.86;9 127.26;10 051.64;10 262.05;10 566.67;10 677.9;11 006.31;11 382.18;11 822.35;12 544.99;12 760.05;13 456.54;14 060.34;15 517.01;16 043.32;18 036.57;19 599.26;23 218.3;24 694.51;26 599.35;27 983.16;29 144.13;30 517.89;31 348.25;32 252.99;31 744.32;28 696.93;28 498.09;28 083.33;28 377.42;28 853.27;28 311.94;28 580.23;26 840.57;26 791.06;26 953.24;27 960.78;28 851.04;30 625.11;31 859.59;34 152.61;36 933.67;37 962.72;38 122.44;38 988.91;37 211.5;37 961.78;38 583.47;38 177.39;36 220.46;36 724.4;36 469.06;35 214.04;35 405.78;34 341.55;34 397.34;34 848.61;34 277.86;32 754.54;32 050;31 727.1;34 422.34;34 489.01;34 673.85;35 366.91;36 974.03;37 160.36;37 404.82;37 855.02;42 046.65;43 086.73;44 865.43;46 227.73;44 806.26;46 118.03;46 525.55;48 790.64;63 537.52
Первичный рынок жилья;        Тверская область;;6 951.02;7 228.96;7 541.96;7 985.98;8 072.41;8 072.41;8 435.15;9 629.66;9 863.38;10 649.2;10 649.2;11 201.94;12 080;12 200;13 880;15 260;15 741.63;16 948.5;17 245;18 417.62;16 839.58;17 670.58;18 739.31;19 121.27;20 498.87;23 914.5;27 819.97;28 894.28;31 729.37;32 553.99;34 358.69;39 445.62;50 398.42;58 605.63;59 183.3;52 342.82;53 425.93;44 328.44;45 312.84;44 953.52;49 154.62;50 040.12;49 834.62;50 687.56;42 703.66;42 356.77;43 148.95;43 422.02;45 961.54;45 794.75;47 272.72;48 073.94;49 290.51;49 941.27;49 211.77;49 788;49 041.23;51 520.53;51 110.2;51 166;51 913.6;50 688.16;50 895.99;51 130.01;51 159.67;48 581.64;47 893.22;47 752.92;46 633;46 536.44;46 368.71;46 296.03;45 574.88;45 148.65;45 067.38;45 140.98;45 524.83;46 157.82;47 171.11;47 339.79;47 340.39;48 285.42;48 844.2;51 034;54 407.19;56 589.1;60 042.45;67 390.63;78 012.19
Первичный рынок жилья;        Тульская область;;5 508.33;5 618.33;5 618.33;5 644.82;5 904.14;6 271.99;6 290.02;6 486.01;8 041.08;8 280.88;9 127.66;9 687.14;10 122.89;10 725.86;10 862.46;11 184.01;13 461.93;14 420.52;15 247.14;15 812.56;17 388.13;18 524.59;18 931.74;19 507.28;20 183.6;20 959.02;21 455.51;25 885.39;29 495.33;30 486.18;31 612.82;32 107.26;39 946.82;41 205.03;43 010.4;42 720.17;43 764.9;43 821.09;43 679.08;44 161.27;43 886.72;44 397.59;41 487.98;41 215.96;40 136.3;41 187.78;41 727.5;42 151.59;41 507.59;41 167.76;41 254.61;41 794.78;44 328.5;43 857.38;44 838.66;44 597.11;45 158.67;47 802.77;48 305.6;48 995.01;48 749.23;48 157.06;47 840.21;47 032.38;50 159.4;45 717.08;46 284.92;45 140.49;47 862.64;48 670.24;48 148.05;48 617.59;49 497.69;50 598.73;51 758.58;53 971.48;52 977.48;50 791.78;53 515.75;55 147.89;55 929.11;58 151.29;60 422.42;63 729.59;65 549.18;68 895.81;69 416.44;69 877.08;76 974.98
Первичный рынок жилья;        Ярославская область;;5 713.49;5 684.38;6 190.21;6 879.61;7 793.15;7 629.06;8 073.86;9 753.7;10 355.29;10 876.03;11 251.26;12 407.03;13 790.61;14 512.11;13 939.69;14 067.12;15 168.14;17 591.83;18 148.73;18 148.73;18 479.99;19 118.37;19 275.45;19 681.84;23 756.92;25 512.62;30 280;39 405.98;42 453.13;42 308.07;42 313.76;43 715.49;41 483.35;44 142.29;45 386.13;45 110.33;44 259.12;40 301.01;38 903.99;37 499.34;38 162.67;37 972.39;37 860.11;37 550.54;39 610.19;39 867.13;41 597.36;41 872.61;44 433.47;45 814.19;46 121.08;50 993.89;53 845.5;52 981.93;54 903.41;55 395.91;54 007.27;53 885.59;52 486.61;52 774.81;52 150.26;52 133.38;47 801.22;48 726.94;46 890.88;46 108.25;47 506.81;46 582.83;46 185.98;47 096.35;47 113.36;46 424.1;45 318.46;45 717.55;46 667.57;47 211.27;53 094.49;53 244.92;53 199.01;53 474.97;52 822.91;52 763.85;53 053.59;54 973.57;55 665.2;56 608.02;61 020.32;63 216.84;75 123.04
Первичный рынок жилья;        Город Москва столица Российской Федерации город федерального значения;;16 023.8;15 714.96;16 040.24;16 280.73;19 962.88;20 472.9;21 226.56;21 905.66;21 433.15;23 001.69;23 833.47;24 331.25;30 049.04;31 259.34;33 507.05;35 363.56;43 141.82;44 695.01;46 060.53;47 057.56;54 945.74;56 171.98;57 007.1;58 397.88;64 581.07;74 163.22;84 963.95;88 590.38;105 776.3;106 976.91;109 556.64;113 501.05;117 246.09;123 213.72;129 688.36;127 245.94;135 227.46;132 510.45;128 982.42;131 218.11;141 233.08;142 803.38;143 887.71;144 341.59;125 954.47;126 535.69;128 044.73;129 523.52;127 344.75;130 983.31;130 532.46;129 965.62;140 689.08;143 490.27;149 956.09;151 517.17;166 946.33;170 069.81;170 073.12;174 538.14;173 715.83;172 923.74;175 056.84;182 292.43;159 613.38;153 496.24;157 276.97;155 032.99;156 029.07;157 516.41;153 804.05;153 523.31;163 801.26;170 322.33;172 725.5;172 460.32;185 882.52;195 087.57;198 230.93;203 189.99;214 278.63;215 210.48;226 767.54;231 309.31;251 833.07;277 383.64;289 126.99;299 030.64;340 447.24
Первичный рынок жилья;    Северо-Западный федеральный округ;;8 031.79;8 239.59;8 344.11;8 670.83;8 759.47;9 180.07;9 452.07;10 123.76;11 332.33;11 537.6;12 110.25;12 791.18;14 347.58;14 912.45;15 952.6;17 371.44;19 766.4;20 710.14;21 646.32;21 178.73;23 405.11;23 450.05;23 926.73;24 442.05;25 870.48;30 089.01;33 781.74;37 456.86;49 948.8;51 641.99;53 850.48;58 360.09;60 721.92;64 957.57;66 940.92;64 642.33;70 278.36;68 772.65;67 274.08;66 495.81;56 264.86;56 002.88;56 151.63;55 199.14;48 986.41;50 908.74;50 825.45;52 095.88;55 291.85;57 811.84;59 406.19;59 946.83;65 894.94;66 849.19;67 695.75;65 599.57;69 083.09;69 666.66;68 447.28;68 646.93;67 569.94;67 866.52;68 157.67;67 060.77;70 931.29;73 480.23;73 604.97;74 440.95;74 794.25;75 066.46;75 710.38;77 122.04;79 834.34;80 043.59;80 813.91;81 796.87;83 324.16;83 857.1;85 161.5;88 048.29;103 482.26;107 231.08;111 346.1;115 671.46;129 257.52;140 039.15;143 829.51;155 104.34;178 426
